,vaccine,Geographic_Level,Geographic_Name,Demographic_Level,Demographic_Name,Indicator_label,Indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted_Sample_Size,suppression_flag
34357,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,May Week 5,2025-05-31 00:00:00.0000000,31.863,16.2411,63,0
34358,COVID,Region,Region 4,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,June Week 3,2025-06-21 00:00:00.0000000,68.6018,6.3844,400,0
34359,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 1,2025-06-07 00:00:00.0000000,6.5936,2.2923,2445,0
34360,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,June Week 2,2025-06-14 00:00:00.0000000,23.2769,6.5306,324,0
34361,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 3,2025-06-21 00:00:00.0000000,6.5936,2.2923,2445,0
34362,COVID,Region,Region 4,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,June Week 1,2025-06-07 00:00:00.0000000,25.8877,5.5128,610,0
34363,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 2,2025-05-10 00:00:00.0000000,5.6625,1.4276,2445,0
34364,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,May Week 1,2025-05-03 00:00:00.0000000,26.2107,5.5546,459,0
34365,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 4,2025-05-24 00:00:00.0000000,5.6625,1.4276,2445,0
34366,COVID,Region,Region 4,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,May Week 3,2025-05-17 00:00:00.0000000,24.5682,5.0397,540,0
34367,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 5,2025-05-31 00:00:00.0000000,6.1281,1.4276,2445,0
34368,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 2,2025-06-14 00:00:00.0000000,16.3456,1.0586,13544,0
34369,COVID,Region,Region 4,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 1,2025-06-07 00:00:00.0000000,8.0437,0.6902,17567,0
34370,COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 1,2025-05-03 00:00:00.0000000,47.7801,13.4452,75,0
34371,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 3,2025-06-21 00:00:00.0000000,16.3456,1.0586,13544,0
34372,COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 3,2025-05-17 00:00:00.0000000,51.4674,16.4575,65,0
34373,COVID,Region,Region 4,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 2,2025-06-14 00:00:00.0000000,8.0437,0.6902,17567,0
34374,COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 2,2025-05-10 00:00:00.0000000,7.1887,7.434199999999999,102,0
34375,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 2,2025-05-10 00:00:00.0000000,16.146,1.0403,13544,0
34376,COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 4,2025-05-24 00:00:00.0000000,7.9296,9.6553,60,0
34377,COVID,Region,Region 4,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 4,2025-06-28 00:00:00.0000000,8.2615,0.8119,17567,0
34378,COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 5,2025-05-31 00:00:00.0000000,14.7404,20.3559,32,0
34379,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 3,2025-05-17 00:00:00.0000000,16.146,1.0403,13544,0
34380,COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,June Week 1,2025-06-07 00:00:00.0000000,13.1395,14.4406,49,0
34381,COVID,Region,Region 4,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 2,2025-05-10 00:00:00.0000000,7.9432,0.6797999999999998,17567,0
34382,COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,June Week 4,2025-06-28 00:00:00.0000000,,,22,1
34383,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 4,2025-05-24 00:00:00.0000000,16.146,1.0403,13544,0
34384,COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,May Week 4,2025-05-24 00:00:00.0000000,23.6998,17.2866,60,0
34385,COVID,Region,Region 4,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 3,2025-05-17 00:00:00.0000000,7.9432,0.6797999999999998,17567,0
34386,COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,May Week 5,2025-05-31 00:00:00.0000000,29.3899,18.5778,32,0
34387,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 5,2025-05-31 00:00:00.0000000,16.3004,1.0403,13544,0
34388,COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 3,2025-06-21 00:00:00.0000000,,,1827,1
34389,COVID,Region,Region 4,Overall,6 months-17 years,Up-to-date,Yes,June Week 3,2025-06-21 00:00:00.0000000,8.2615,0.8119,17567,0
