,vaccine,Geographic_Level,Geographic_Name,Demographic_Level,Demographic_Name,Indicator_label,Indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted_Sample_Size,suppression_flag
75,COVID,State,New York,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,2025-12-13 00:00:00.0000000,21.9237,12.7659,79,0
76,COVID,State,North Carolina,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,2025-12-13 00:00:00.0000000,5.5075,2.9812,704,0
77,COVID,State,North Carolina,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,2025-12-13 00:00:00.0000000,21.1079,15.8004,36,0
78,COVID,State,North Dakota,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2025-12-13 00:00:00.0000000,61.0648,23.9861,35,0
79,COVID,State,Ohio,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2025-12-13 00:00:00.0000000,66.8394,17.147,108,0
80,COVID,State,North Dakota,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2025-12-13 00:00:00.0000000,1.094,2.2436,35,0
81,COVID,State,Ohio,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,2025-12-13 00:00:00.0000000,27.6309,17.2252,108,0
82,COVID,State,North Dakota,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,2025-12-13 00:00:00.0000000,30.8308,23.3662,35,0
83,COVID,State,Ohio,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,2025-12-13 00:00:00.0000000,3.5839,1.9684,838,0
84,COVID,State,North Dakota,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,2025-12-13 00:00:00.0000000,7.0105,3.1633,772,0
85,COVID,State,Oklahoma,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,2025-12-13 00:00:00.0000000,3.8115,2.329,891,0
